parent_lemma;parent_variant;parent_pos;parent_comment;child_lemma;child_variant;child_pos;child_comment
fletnistka;1;2;##K:  ##D: . [##P: ] {##L: };fletnista;1;2;##K:  ##D: . [##P: ] {##L: }
flirciara;1;2;##K: pot. ##D: kobieta, która flirtuje, podrywaczka, która używa stosuje gry damsko-męskie dla nawiązania znajomości z mężczyzną. [##W: Szybko staje się znana jako największa flirciara w stajni, bo bardziej interesuje się przyciąganiem uwagi chłopców niż nauką jazdy konnej.] ##A1: {radość, złość, piękno, szczęście, krzywda, błąd} amb [Renata jest piękną, miłą i pewną siebie flirciarą.] [Denerwuje mnie, że moją dziewczyna jest flirciarą i stale podrywa innych mężczyzn.] ##A2: {radość, cieszenie się na, złość, szczęście, nieużyteczność, błąd} amb [Odważna flirciara łatwo nawiązywała znajomości.] [Taka z niej flirciara, ale na stałe z nikim się nie spotyka.];flirciarz;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: {smutek, złość, krzywda, błąd} - s [Jak mam mu ufać, skoro wszyscy mówią, że jest flirciarzem?] ##A2: {radość, cieszenie się na, złość, wstręt, szczęście, krzywda, błąd, nieszczęście} amb [Lubiła towarzystwo Tomasza, nietuzinkowego flirciarza i adoratora kobiet.] [Joanna była zmęczona umizgami podstarzałego flirciarza, który nie odstępował jej na krok przy barze.] ##A3: {radość, wstręt, użyteczność, szczęście, krzywda, błąd} amb [Trudno mi o nim coś powiedzieć: trochę niepoprawny flirciarz, ale poza tym dobry kumpel,] [Miał same atuty: przystojny, flirciarz, bez zobowiązań i z dużym mieszkaniem.]
florecistka;1;2;##K:  ##D: . [##P: ] {##L: };florecista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0
florentynka;2;2;##K: og. ##D: mieszkanka Florencji.;florentyńczyk;1;2;##K: og. ##D: mieszkaniec Florencji.
florystka;1;2;pot. bukieciarka;florysta;2;2;##K: og. ##D: artysta zajmujący się sztuką układania kwiatów i innych elementów roślinnych w różnorodne kompozycje (bukiety, wiązanki, wieńce, girlandy itp.). [##P: Florysta pięknie przystroił kościół na ślub.] ##A1: 0
florystka;2;2;specjalistka w dziedzinie florystyki;florysta;1;2;##K: specj. ##D: naukowiec specjalizujący się we florystyce, zajmujący się badaniem zasięgów roślin, grupowaniem roślin według kryterium zasięgowego oraz powinowactwem florystycznym różnych obszarów i ich zróżnicowaniem florystycznym. ##A1: 0 ##A2: 0
folblutka;1;2;##K:  ##D: . [##P: ] {##L: };folblut;1;2;##K: specj. ##D: jedna z podstawowych ras koni gorącokrwistych pochodząca z Anglii, aktualnie rozpowszechniona na całym świecie i wywierająca wielki wpływ na niemalże wszystkie rasy obecnie hodowanych koni sportowych. {##L: http://pl.wikipedia.org/wiki/Ko%C5%84_pe%C5%82nej_krwi_angielskiej}
folksdojczka;1;2;##K: og. ##A1: 0 ##A2: 0;folksdojcz;1;2;##K: og. ##D: osoba narodowości polskiej wpisana na listę osób narodowości niemieckiej, kolaborująca z Niemcami i otrzymująca z tego tytułu różne korzyści. [##P: ] {##L: } ##A1: 0 ##A2: 0
fonetyczka;1;2;##K:  ##D: . [##P: ] {##L: };fonetyk;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
fordanserka;1;2;##K:  ##D: . [##P: ] {##L: };fordanser;1;2;##K:  ##D: . [##P: ] {##L: }
formalistka;1;2;##K: książk. ##D: kobieta, która stosuje się ściśle do obowiązujących praw, przepisów. [##P: Nasza dyrektorka to okropna formlistka, w ogóle nie zwraca uwagi na problemy uczniów czy z uczniami, liczą się dla niej tylko regulamin i statut.] [##W: W sprawach dyplomatycznych Elżbieta jest formalistką i królewski protokół jest ściśle przestrzegany.];formalista;1;2;##K: książk. ##D: człowiek, który stosuje się ściśle do obowiązujących praw, przepisów bez zrozumienia i wnikania w ich treści. [##W: Na obronę K-PAX, dr Powell przedstawiony jest w filmie jako taki właśnie apatyczny formalista, nie zwracający uwagi na to, co mówią pacjenci, który pod wpływem fascynacji przypadkiem prota zaczyna zajmować się swoją pracą z maniakalnym uporem.] ##A1: {złość, wstręt, błąd} - s [Ten człowiek jest bezdusznym formalistą.] ##A2: {złość, wstręt, nieużyteczność, błąd} - s [Nie załatwisz niczego z tymi formalistami, lepiej poszukaj innego banku.]
fornalka;4;2;##K: daw. ##D: żona fornala. [##P: Jasiek chciałby się spotkać z fornalką, ale wówczas Kazik da mu do wiwatu...];fornal;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
forowiczka;1;2;##K: og. ##D: użytkowniczka forum internetowego.;forowicz;1;2;##K: og. ##D: użytkownik forum internetowego.
forumowiczka;1;2;##K: og. ##D: użytkowniczka forum internetowego.;forumowicz;1;2;##K:  ##D: . [##P: ] {##L: }
fotoamatorka;1;2;##K:  ##D: . [##P: ] {##L: };fotoamator;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
fotograficzka;1;2;##K:  ##D: . [##P: ] {##L: };fotografik;1;2;##K:  ##D: . [##P: ] {##L: }
